INTERACTOR_A	INTERACTOR_B
AT1G02360	AT4G18430
AT1G02475	AT1G15820
AT1G02475	AT1G16880
AT1G02475	AT1G18060
AT1G02475	AT1G18170
AT1G02475	AT1G19150
AT1G02475	AT1G20340
AT1G02475	AT1G20810
AT1G02475	AT1G21350
AT1G02475	AT1G21500
AT1G02475	AT1G26220
AT1G02475	AT1G28140
AT1G02475	AT1G29700
AT1G02475	AT1G30380
AT1G02475	AT1G31800
AT1G02475	AT1G32060
AT1G02475	AT1G32070
AT1G02475	AT1G32080
AT1G02475	AT1G32160
AT1G02475	AT1G32220
AT1G02475	AT1G32470
AT1G02475	AT1G32550
AT1G02475	AT1G34000
AT1G02475	AT1G35420
AT1G02475	AT1G36320
AT1G02475	AT1G42970
AT1G02475	AT1G44575
AT1G02475	AT1G45474
AT1G02475	AT1G50900
AT1G02475	AT1G51110
AT1G02475	AT1G51805
AT1G02475	AT1G52220
AT1G02475	AT1G52230
AT1G02475	AT1G52870
AT1G02475	AT1G53670
AT1G02475	AT1G56500
AT1G02475	AT1G60950
AT1G02475	AT1G63970
AT1G02475	AT1G66970
AT1G02475	AT1G67700
AT1G02475	AT1G67740
AT1G02475	AT1G67840
AT1G02475	AT1G68010
AT1G02475	AT1G68520
AT1G02475	AT1G68830
AT1G02475	AT1G69390
AT1G02475	AT1G69935
AT1G02475	AT1G71480
AT1G02475	AT1G71500
AT1G02475	AT1G72610
AT1G02475	AT1G73655
AT1G02475	AT1G76450
AT1G02475	AT1G76730
AT1G02475	AT1G77490
AT1G02475	AT2G26500
AT1G02475	AT2G39730
AT1G02475	AT2G40880
AT1G02475	AT2G43560
AT1G02475	AT2G47400
AT1G02475	AT3G01480
AT1G02475	AT3G01500
AT1G02475	AT3G01660
AT1G02475	AT3G02730
AT1G02475	AT3G04760
AT1G02475	AT3G06483
AT1G02475	AT3G08010
AT1G02475	AT3G08940
AT1G02475	AT3G10060
AT1G02475	AT3G11090
AT1G02475	AT3G12780
AT1G02475	AT3G15110
AT1G02475	AT3G15360
AT1G02475	AT3G15840
AT1G02475	AT3G15900
AT1G02475	AT3G16140
AT1G02475	AT3G16250
AT1G02475	AT3G17930
AT1G02475	AT3G19480
AT1G02475	AT3G19800
AT1G02475	AT3G21055
AT1G02475	AT3G22210
AT1G02475	AT3G23400
AT1G02475	AT3G23700
AT1G02475	AT3G25690
AT1G02475	AT3G26060
AT1G02475	AT3G26085
AT1G02475	AT3G26650
AT1G02475	AT3G26710
AT1G02475	AT3G26740
AT1G02475	AT3G26900
AT1G02475	AT3G27925
AT1G02475	AT3G44880
AT1G02475	AT3G45050
AT1G02475	AT3G45140
AT1G02475	AT3G46630
AT1G02475	AT3G46780
AT1G02475	AT3G47070
AT1G02475	AT3G47470
AT1G02475	AT3G47650
AT1G02475	AT3G48200
AT1G02475	AT3G48420
AT1G02475	AT3G50685
AT1G02475	AT3G50820
AT1G02475	AT3G51420
AT1G02475	AT3G51510
AT1G02475	AT3G51820
AT1G02475	AT3G52155
AT1G02475	AT3G53470
AT1G02475	AT3G54050
AT1G02475	AT3G54890
AT1G02475	AT3G55040
AT1G02475	AT3G55250
AT1G02475	AT3G55330
AT1G02475	AT3G55800
