INTERACTOR_A	INTERACTOR_B
LOC_Os03g37864	LOC_Os02g57860
LOC_Os03g37864	LOC_Os10g10580
LOC_Os03g37864	LOC_Os10g29274
LOC_Os03g37864	LOC_Os07g05640
LOC_Os03g37864	LOC_Os11g37759
LOC_Os03g37864	LOC_Os11g20239
LOC_Os03g37864	LOC_Os01g38480
LOC_Os03g37864	LOC_Os09g15044
LOC_Os03g37864	LOC_Os07g05440
LOC_Os03g37864	LOC_Os12g02589
LOC_Os03g37864	LOC_Os11g14544
LOC_Os03g37864	LOC_Os05g05530
LOC_Os03g37864	LOC_Os11g17290
LOC_Os03g37864	LOC_Os02g06790
LOC_Os03g37864	LOC_Os08g15590
LOC_Os03g37864	LOC_Os11g15000
LOC_Os03g37864	LOC_Os03g52230
LOC_Os03g37864	LOC_Os01g26070
LOC_Os10g40030	LOC_Os04g23890
LOC_Os07g27359	LOC_Os03g55734
LOC_Os07g27359	LOC_Os02g15070
LOC_Os07g27359	LOC_Os03g40440
LOC_Os07g27359	LOC_Os02g12310
LOC_Os07g27359	LOC_Os10g41160
LOC_Os07g27359	LOC_Os01g13360
LOC_Os07g27359	LOC_Os05g47820
LOC_Os07g27359	LOC_Os05g41970
LOC_Os06g49930	LOC_Os06g51524
LOC_Os11g35400	LOC_Os01g14850
LOC_Os11g35400	LOC_Os01g08260
LOC_Os11g35400	LOC_Os08g44840
LOC_Os11g35400	LOC_Os04g42860
LOC_Os11g35400	LOC_Os05g34700
LOC_Os10g38710	LOC_Os02g58790
LOC_Os10g38710	LOC_Os06g09610
LOC_Os10g38710	LOC_Os07g07540
LOC_Os10g38710	LOC_Os07g32880
LOC_Os10g38710	LOC_Os08g06530
LOC_Os10g38710	LOC_Os11g24450
LOC_Os10g38710	LOC_Os08g02210
LOC_Os10g38710	LOC_Os04g51300
LOC_Os10g38710	LOC_Os05g33280
LOC_Os10g38710	LOC_Os10g01044
LOC_Os10g38710	LOC_Os02g38020
LOC_Os10g38710	LOC_Os06g43140
LOC_Os10g38710	LOC_Os01g68450
LOC_Os10g38710	LOC_Os07g46330
LOC_Os10g38710	LOC_Os06g05950
LOC_Os10g38710	LOC_Os10g37180
LOC_Os10g38710	LOC_Os08g01170
LOC_Os10g38710	LOC_Os02g52650
LOC_Os10g38710	LOC_Os04g41340
LOC_Os10g38710	LOC_Os02g02000
LOC_Os10g38710	LOC_Os09g28630
LOC_Os10g38710	LOC_Os01g64960
LOC_Os10g38710	LOC_Os04g56240
LOC_Os10g38710	LOC_Os08g45190
LOC_Os10g38710	LOC_Os02g21185
LOC_Os10g38710	LOC_Os03g62780
LOC_Os10g38710	LOC_Os08g14440
